iImage	iCell	X	Y	Cell_area	Cell_FG_Fp_TotInt	Cell_FG_Fp_MeanInt	Cell_GFP_TotInt	Cell_GFP_MeanInt	Cell_FG_Fp_GFP_TotInt	Seg_area	Seg_n	Seg_area_max	Seg_FG_TotInt_Fp	Seg_FG_MeanInt_Fp
1	266	1032.998	149.8385	1170	87.99	0.08	-0.03	0	52.12	168	2	164	39.14	0.21
1	267	1043.946	548.134	1060	99.22	0.09	-0.21	0	74.04	165	2	158	39.57	0.26
1	268	1047.369	591.6286	1785	108.75	0.06	0.03	0	41.06	131	7	81	26.27	0.17
1	269	1060.667	636.9635	2135	121.27	0.06	0.49	0	39.12	169	2	155	36.31	0.21
1	270	1050.024	807.5096	1046	108.22	0.1	0.31	0	68.25	158	5	78	39.21	0.21
1	271	1052.937	734.7237	1994	215.66	0.11	0.66	0	69.8	220	7	142	66.19	0.24
1	272	1057.381	178.002	1025	84.19	0.08	-0.11	0	60.43	63	7	37	10.13	0.15
1	273	1066.164	923.8671	1339	92.22	0.07	1.56	0	28.83	103	2	79	24.8	0.25
1	274	1070.892	841.2404	757	101.58	0.13	0.34	0	80.63	86	4	75	24.95	0.25
1	275	1087.095	258.8	2175	177.6	0.08	0.46	0	57.03	288	6	261	77.29	0.21
1	276	1073.446	324.7298	1658	138.93	0.08	0.04	0	56.24	214	5	201	60.27	0.19
1	277	1071.958	371.015	1396	149.91	0.11	0.14	0	81.26	227	2	224	90.79	0.31
1	278	1083.532	889.8899	1335	60.09	0.05	0.31	0	30.92	15	1	15	3.01	0.2
1	279	1100.896	299.9804	1534	68.45	0.04	-0.13	0	39.26	101	4	86	14.45	0.13
1	280	1122.703	63.36355	2151	209.28	0.1	-0.03	0	80.63	253	2	250	92.8	0.3
1	281	1141.932	288.568	1537	86.92	0.06	-0.09	0	48.48	142	5	113	25.77	0.17
1	282	1156.311	787.8761	2485	186.24	0.07	0.05	0	60.44	243	3	213	74.83	0.29
1	283	1177.978	75.54886	2405	158.86	0.07	-0.06	0	55.15	187	2	176	45.46	0.2
1	284	1178.001	844.7314	3112	209.21	0.07	0.02	0	45.69	335	2	331	88.38	0.23
1	285	1175.779	738.9028	1553	164.13	0.11	0.52	0	68.06	246	3	228	90.29	0.24
1	286	1192.127	42.63424	2231	131.31	0.06	0.22	0	44.65	142	4	73	29.64	0.2
1	287	1185.299	903.6041	1513	221.02	0.15	1.3	0	91.71	384	4	254	115.95	0.26
1	288	1214.206	947.8348	4666	352.42	0.08	4.24	0	64.38	390	12	190	110.59	0.23
1	289	1212.963	889.4405	1058	83.18	0.08	0.98	0	41.27	53	4	33	11.13	0.21
1	290	1206.222	775.6994	1384	110.73	0.08	0.49	0	50.81	153	2	151	50.72	0.27
1	291	1216.087	1001.046	1009	57.36	0.06	2.06	0	24.88	71	4	62	16.42	0.16
1	292	1236.05	843.0939	3057	209.68	0.07	0.69	0	47.44	227	5	130	52.74	0.25
1	293	1235.196	565.9641	1840	241.31	0.13	0.21	0	83.14	532	3	507	132.21	0.19
1	294	1252.595	69.11802	4067	260.77	0.06	-0.24	0	69.63	215	14	163	49.42	0.18
1	295	1264.476	885.1419	2982	215.45	0.07	0.86	0	56.94	295	5	194	72.63	0.23
1	296	1263.617	24.35628	1656	90.72	0.05	1.43	0	29.81	169	1	169	42.19	0.25
1	297	1255.443	795.0127	787	100.6	0.13	-0.05	0	91.24	216	5	194	47.14	0.18
1	298	1260.661	973.7955	440	124.53	0.28	0.04	0	182.95	289	1	289	99.19	0.34
1	299	1274.507	926.2076	1662	71.05	0.04	0.08	0	33.68	40	1	40	8.64	0.22
1	300	1293.37	701.8223	1745	185.41	0.11	0.22	0	79.04	374	2	372	98.57	0.22
1	301	1278.824	762.9932	1037	137.76	0.13	-0.07	0	94.8	171	2	102	52.19	0.31
1	302	1296.493	941.5	1502	214.82	0.14	0.08	0	111.93	520	2	515	131.84	0.21
1	303	1309.226	742.2627	2109	176.16	0.08	0.13	0	65.22	296	1	296	89.07	0.3
1	304	1292.766	975.1757	535	77.34	0.14	-0.07	0	108.75	60	7	28	12.74	0.21
1	305	1307.227	820.5054	827	71.85	0.09	-0.13	0	66.31	48	3	41	10.88	0.23
1	306	1318.332	230.8807	2690	129.43	0.05	0.56	0	40.53	126	7	85	23.5	0.16
